year,anomaly_c,lowess_c,uncertainty_95_c,uncertainty_low_c,uncertainty_high_c
1880,-0.17,-0.1,0.138794949695727,-0.308794949695727,-0.031205050304273008
1881,-0.09,-0.13,0.134320442437146,-0.224320442437146,0.044320442437146
1882,-0.11,-0.17,0.137395994947014,-0.24739599494701398,0.027395994947013988
1883,-0.17,-0.2,0.136249893990653,-0.306249893990653,-0.033750106009347025
1884,-0.28,-0.24,0.141248990021787,-0.42124899002178706,-0.13875100997821302
1885,-0.33,-0.26,0.147067402500364,-0.477067402500364,-0.18293259749963603
1886,-0.32,-0.27,0.150959250606156,-0.470959250606156,-0.169040749393844
1887,-0.36,-0.27,0.136045567352788,-0.496045567352788,-0.223954432647212
1888,-0.18,-0.27,0.125328442917563,-0.305328442917563,-0.05467155708243698
1889,-0.11,-0.26,0.125897517206048,-0.235897517206048,0.015897517206047998
1890,-0.36,-0.25,0.123244119121782,-0.483244119121782,-0.23675588087821797
1891,-0.22,-0.26,0.122831776667941,-0.342831776667941,-0.097168223332059
1892,-0.27,-0.27,0.125098843943777,-0.39509884394377703,-0.14490115605622303
1893,-0.31,-0.26,0.122855692125325,-0.432855692125325,-0.187144307874675
1894,-0.3,-0.24,0.125302649142524,-0.425302649142524,-0.17469735085747598
1895,-0.23,-0.22,0.125781549914504,-0.355781549914504,-0.10421845008549602
1896,-0.12,-0.21,0.120070526152889,-0.24007052615288899,7.052615288900832e-05
1897,-0.11,-0.19,0.12214473830863,-0.23214473830863,0.012144738308629999
1898,-0.28,-0.17,0.124340605779329,-0.404340605779329,-0.15565939422067104
1899,-0.18,-0.18,0.121364602799144,-0.301364602799144,-0.05863539720085599
1900,-0.09,-0.2,0.113627142204667,-0.203627142204667,0.02362714220466701
1901,-0.15,-0.23,0.110020300644142,-0.260020300644142,-0.03997969935585799
1902,-0.28,-0.26,0.112175236577772,-0.39217523657777204,-0.16782476342222802
1903,-0.37,-0.28,0.117630542258257,-0.48763054225825697,-0.252369457741743
1904,-0.48,-0.31,0.114735626840984,-0.594735626840984,-0.365264373159016
1905,-0.27,-0.34,0.115250924398631,-0.385250924398631,-0.15474907560136902
1906,-0.23,-0.36,0.11313539253389,-0.34313539253389,-0.11686460746611001
1907,-0.39,-0.38,0.115919619109039,-0.505919619109039,-0.274080380890961
1908,-0.43,-0.4,0.113683381742331,-0.543683381742331,-0.316316618257669
1909,-0.49,-0.41,0.118781832112962,-0.608781832112962,-0.371218167887038
1910,-0.44,-0.42,0.106145867325196,-0.546145867325196,-0.333854132674804
1911,-0.45,-0.4,0.112624648639589,-0.562624648639589,-0.337375351360411
1912,-0.37,-0.36,0.110220434122262,-0.480220434122262,-0.259779565877738
1913,-0.35,-0.33,0.114265349043884,-0.46426534904388395,-0.23573465095611598
1914,-0.16,-0.32,0.113526484198708,-0.273526484198708,-0.046473515801292
1915,-0.15,-0.31,0.118952456265147,-0.26895245626514697,-0.031047543734852995
1916,-0.36,-0.3,0.12377982580971,-0.48377982580971,-0.23622017419028998
1917,-0.46,-0.3,0.13349598460188,-0.59349598460188,-0.32650401539812
1918,-0.3,-0.3,0.121904471496932,-0.421904471496932,-0.17809552850306798
1919,-0.28,-0.3,0.121791352559779,-0.40179135255977905,-0.158208647440221
1920,-0.28,-0.28,0.112428147172153,-0.392428147172153,-0.16757185282784703
1921,-0.19,-0.26,0.113041566950285,-0.303041566950285,-0.076958433049715
1922,-0.28,-0.25,0.109942269146335,-0.389942269146335,-0.17005773085366505
1923,-0.26,-0.24,0.105604634619725,-0.36560463461972503,-0.154395365380275
1924,-0.27,-0.23,0.110877092923911,-0.38087709292391103,-0.159122907076089
1925,-0.22,-0.22,0.112214288025533,-0.332214288025533,-0.107785711974467
1926,-0.11,-0.22,0.109332737253208,-0.219332737253208,-0.000667262746792005
1927,-0.22,-0.21,0.111926940042706,-0.331926940042706,-0.10807305995729401
1928,-0.2,-0.2,0.115520581240877,-0.315520581240877,-0.08447941875912302
1929,-0.36,-0.19,0.122291910825405,-0.482291910825405,-0.237708089174595
1930,-0.16,-0.19,0.114527961886491,-0.274527961886491,-0.045472038113509
1931,-0.09,-0.19,0.107822358067435,-0.19782235806743498,0.017822358067435
1932,-0.16,-0.18,0.114260120113196,-0.274260120113196,-0.045739879886804
1933,-0.29,-0.17,0.110085615167591,-0.400085615167591,-0.17991438483240899
1934,-0.13,-0.16,0.109651572237656,-0.23965157223765599,-0.02034842776234401
1935,-0.2,-0.14,0.11027672306578,-0.31027672306578,-0.08972327693422001
