record_type,object,distance_mpc,velocity_km_s,individual_fit_slope,group_fit_slope
individual,S. Mag.,0.032,170,465,513
individual,L. Mag.,0.034,290,465,513
individual,NGC 6822,0.214,-130,465,513
individual,NGC 598,0.263,-70,465,513
individual,NGC 221,0.275,-185,465,513
individual,NGC 224,0.275,-220,465,513
individual,NGC 5457,0.45,200,465,513
individual,NGC 4736,0.5,290,465,513
individual,NGC 5194,0.5,270,465,513
individual,NGC 4449,0.63,200,465,513
individual,NGC 4214,0.8,300,465,513
individual,NGC 3031,0.9,-30,465,513
individual,NGC 3627,0.9,650,465,513
individual,NGC 4826,0.9,150,465,513
individual,NGC 5236,0.9,500,465,513
individual,NGC 1068,1.0,920,465,513
individual,NGC 5055,1.1,450,465,513
individual,NGC 7331,1.1,500,465,513
individual,NGC 4258,1.4,500,465,513
individual,NGC 4151,1.7,960,465,513
individual,NGC 4382,2.0,500,465,513
individual,NGC 4472,2.0,850,465,513
individual,NGC 4486,2.0,800,465,513
individual,NGC 4649,2.0,1090,465,513
reference mean,Mean of 22 nebulae,1.4,745,465,513
