rank,country,life_evaluation,score_ci_low,score_ci_high
1,Finland,7.740699768066406,7.666591167449951,7.814808368682861
2,Denmark,7.582699775695801,7.500102996826172,7.66529655456543
3,Iceland,7.525100231170654,7.43267297744751,7.617527484893799
4,Sweden,7.344099998474121,7.266636848449707,7.421563148498535
5,Israel,7.341100215911865,7.277035713195801,7.40516471862793
6,Netherlands,7.319399833679199,7.256223201751709,7.3825764656066895
7,Norway,7.301700115203857,7.21466588973999,7.388734340667725
8,Luxembourg,7.1219000816345215,7.031064033508301,7.212736129760742
9,Switzerland,7.060200214385986,6.97298526763916,7.1474151611328125
10,Australia,7.0569000244140625,6.973140239715576,7.140659809112549
11,New Zealand,7.029200077056885,6.953863143920898,7.104537010192871
12,Costa Rica,6.955399990081787,6.859907627105713,7.050892353057861
13,Kuwait,6.951399803161621,6.843035697937012,7.0597639083862305
14,Austria,6.904699802398682,6.823819637298584,6.985579967498779
15,Canada,6.899600028991699,6.8154401779174805,6.983759880065918
16,Belgium,6.894199848175049,6.8272929191589355,6.961106777191162
17,Ireland,6.8379998207092285,6.748676300048828,6.927323341369629
18,Czechia,6.821800231933594,6.740658283233643,6.902942180633545
19,Lithuania,6.817500114440918,6.73889684677124,6.896103382110596
20,United Kingdom,6.749000072479248,6.664834976196289,6.833165168762207
21,Slovenia,6.743299961090088,6.643279075622559,6.843320846557617
22,United Arab Emirates,6.733099937438965,6.642897605895996,6.823302268981934
23,United States,6.724800109863281,6.631176948547363,6.818423271179199
24,Germany,6.718500137329102,6.622452735900879,6.814547538757324
25,Mexico,6.677999973297119,6.574941635131836,6.781058311462402
26,Uruguay,6.611499786376953,6.527224540710449,6.695775032043457
27,France,6.609000205993652,6.532982349395752,6.685018062591553
28,Saudi Arabia,6.593500137329102,6.480496883392334,6.706503391265869
29,Kosovo,6.560999870300293,6.45512580871582,6.666873931884766
30,Singapore,6.522799968719482,6.440345764160156,6.605254173278809
31,Taiwan Province of China,6.503499984741211,6.409734725952148,6.597265243530273
32,Romania,6.491199970245361,6.390434265136719,6.591965675354004
33,El Salvador,6.468699932098389,6.338297367095947,6.59910249710083
34,Estonia,6.447700023651123,6.37144136428833,6.523958683013916
35,Poland,6.441500186920166,6.369912624359131,6.513087749481201
36,Spain,6.420899868011475,6.339339733123779,6.50246000289917
37,Serbia,6.410799980163574,6.2999773025512695,6.521622657775879
38,Chile,6.360300064086914,6.273036479949951,6.447563648223877
39,Panama,6.3582000732421875,6.227160930633545,6.48923921585083
40,Malta,6.345799922943115,6.26144552230835,6.430154323577881
41,Italy,6.323500156402588,6.2109599113464355,6.43604040145874
42,Guatemala,6.2870001792907715,6.116988182067871,6.457012176513672
43,Nicaragua,6.283899784088135,6.134583950042725,6.433215618133545
44,Brazil,6.271999835968018,6.153567314147949,6.390432357788086
45,Slovakia,6.2571001052856445,6.182031154632568,6.332169055938721
46,Latvia,6.234499931335449,6.154623031616211,6.3143768310546875
47,Uzbekistan,6.195000171661377,6.086817741394043,6.303182601928711
48,Argentina,6.1880998611450195,6.070464134216309,6.3057355880737305
49,Kazakhstan,6.1875,6.096596717834473,6.278403282165527
50,Cyprus,6.0680999755859375,5.954243183135986,6.181956768035889
51,Japan,6.059800148010254,5.975811004638672,6.143789291381836
52,South Korea,6.0578999519348145,5.968198299407959,6.14760160446167
53,Philippines,6.047599792480469,5.928858280181885,6.166341304779053
54,Vietnam,6.043000221252441,5.947763442993164,6.138236999511719
55,Portugal,6.029600143432617,5.9249587059021,6.134241580963135
56,Hungary,6.016900062561035,5.909855365753174,6.1239447593688965
57,Paraguay,5.976500034332275,5.868301868438721,6.08469820022583
58,Thailand,5.976099967956543,5.857916831970215,6.094283103942871
59,Malaysia,5.975200176239014,5.872441291809082,6.077959060668945
60,China,5.972700119018555,5.884862899780273,6.060537338256836
61,Honduras,5.968400001525879,5.822381973266602,6.114418029785156
62,Bahrain,5.959099769592285,5.765652656555176,6.1525468826293945
63,Croatia,5.942299842834473,5.837490558624268,6.047109127044678
64,Greece,5.933599948883057,5.84025764465332,6.026942253112793
65,Bosnia and Herzegovina,5.876999855041504,5.774585723876953,5.979413986206055
66,Libya,5.866300106048584,5.745771884918213,5.986828327178955
67,Jamaica,5.841700077056885,5.623941898345947,6.059458255767822
68,Peru,5.84089994430542,5.736274242401123,5.945525646209717
69,Dominican Republic,5.822800159454346,5.678603649139404,5.966996669769287
70,Mauritius,5.816400051116943,5.706170082092285,5.926630020141602
71,Moldova,5.815899848937988,5.702123165130615,5.929676532745361
72,Russia,5.785299777984619,5.71167516708374,5.858924388885498
73,Bolivia,5.784299850463867,5.674095630645752,5.894504070281982
74,Ecuador,5.7245001792907715,5.599371910095215,5.849628448486328
75,Kyrgyzstan,5.713500022888184,5.6319780349731445,5.795022010803223
76,Montenegro,5.706999778747559,5.598758220672607,5.81524133682251
77,Mongolia,5.696199893951416,5.609788417816162,5.78261137008667
78,Colombia,5.695099830627441,5.584344387054443,5.8058552742004395
79,Venezuela,5.6066999435424805,5.488837242126465,5.724562644958496
80,Indonesia,5.568299770355225,5.466263294219971,5.6703362464904785
81,Bulgaria,5.462699890136719,5.3565850257873535,5.568814754486084
82,Armenia,5.454899787902832,5.349950313568115,5.559849262237549
83,South Africa,5.421999931335449,5.29541540145874,5.548584461212158
84,North Macedonia,5.369100093841553,5.270038604736328,5.468161582946777
85,Algeria,5.363500118255615,5.251296520233154,5.475703716278076
86,Hong Kong S.A.R. of China,5.316400051116943,5.229356288909912,5.403443813323975
87,Albania,5.304200172424316,5.168330669403076,5.440069675445557
