atomic_number,element,atoms_per_1e12_H,log10_atoms_per_1e12_H
1,H,1000000000000.0,12.0
2,He,95499258602.14369,10.98
3,Li,2041.7379446695318,3.3100000000000005
4,Be,25.703957827688647,1.4100000000000001
5,B,758.5775750291851,2.880000000000001
6,C,354813389.23357606,8.55
7,N,11220184.543019652,7.050000000000001
8,O,851138038.2023759,8.93
9,F,30199.51720402019,4.48
10,Ne,123026877.0812381,8.09
11,Na,2041737.9446695317,6.3100000000000005
12,Mg,38018939.63205621,7.580000000000001
13,Al,3019951.720402019,6.48
14,Si,35481338.923357606,7.550000000000001
15,P,371535.2290971728,5.57
16,S,18197008.586099863,7.260000000000001
17,Cl,186208.71366628734,5.270000000000001
18,Ar,3548133.8923357604,6.550000000000001
19,K,134896.2882591656,5.130000000000001
20,Ca,2187761.623949556,6.340000000000001
21,Sc,1202.2644346174131,3.08
22,Ti,85113.80382023776,4.930000000000001
23,V,10471.285480509028,4.020000000000001
24,Cr,478630.092322639,5.680000000000001
25,Mn,338844.1561392034,5.530000000000001
26,Fe,31622776.60168386,7.500000000000001
27,Co,79432.82347242821,4.9
28,Ni,1737800.8287493798,6.240000000000001
29,Cu,18620.871366628733,4.270000000000001
30,Zn,44668.359215096345,4.65
31,Ga,1348.9628825916561,3.130000000000001
32,Ge,4265.795188015934,3.630000000000001
33,As,234.42288153199274,2.370000000000001
34,Se,2187.761623949552,3.34
35,Br,416.86938347033634,2.620000000000001
36,Kr,1584.8931924611175,3.200000000000001
37,Rb,251.18864315095823,2.4000000000000004
38,Sr,831.7637711026742,2.9200000000000017
39,Y,165.9586907437563,2.2200000000000006
40,Zr,407.38027780411386,2.610000000000001
41,Nb,24.547089156850337,1.3900000000000006
42,Mo,91.20108393559116,1.9600000000000009
44,Ru,66.06934480075964,1.8200000000000003
45,Rh,12.30268770812381,1.0899999999999999
46,Pd,48.97788193684477,1.6900000000000013
47,Ag,17.378008287493763,1.2400000000000002
48,Cd,57.5439937337159,1.7600000000000016
49,In,6.456542290346563,0.8100000000000005
50,Sn,134.8962882591656,2.130000000000001
51,Sb,10.964781961431873,1.040000000000001
52,Te,169.8243652461746,2.2300000000000004
53,I,31.622776601683793,1.5
54,Xe,165.9586907437563,2.2200000000000006
55,Cs,13.1825673855641,1.120000000000001
56,Ba,158.48931924611173,2.200000000000001
57,La,15.848931924611174,1.200000000000001
58,Ce,40.738027780411386,1.6100000000000012
59,Pr,5.888436553555908,0.7700000000000014
60,Nd,29.5120922666639,1.4700000000000006
62,Sm,8.128305161640995,0.9100000000000001
63,Eu,3.4673685045253237,0.5400000000000009
64,Gd,11.748975549395302,1.0700000000000003
65,Tb,2.1379620895022327,0.33000000000000007
66,Dy,14.125375446227554,1.1500000000000004
67,Ho,3.1622776601683795,0.5
68,Er,8.912509381337477,0.9500000000000011
69,Tm,1.348962882591656,0.13000000000000078
70,Yb,8.709635899560832,0.9400000000000013
71,Lu,1.2882495516931376,0.11000000000000121
72,Hf,5.4954087385762485,0.7400000000000002
73,Ta,0.7413102413009192,-0.129999999999999
74,W,4.677351412871981,0.6699999999999999
75,Re,1.81970085860999,0.26000000000000156
76,Os,23.988329190194946,1.3800000000000008
77,Ir,23.442288153199275,1.370000000000001
78,Pt,47.863009232264,1.6800000000000015
79,Au,6.606934480075965,0.8200000000000003
80,Hg,12.02264434617413,1.08
81,Tl,6.456542290346563,0.8100000000000005
82,Pb,112.20184543019653,2.0500000000000007
83,Bi,5.128613839913658,0.7100000000000009
90,Th,1.2022644346174132,0.08000000000000007
92,U,0.31622776601683794,-0.5
