date,latitude,longitude,depth_km,magnitude,place
2007-12-09,-25.996,-177.514,152.5,7.8,south of the Fiji Islands
2007-11-29,14.944,-61.274,156.0,7.4,"18 km WNW of Basse-Pointe, Martinique"
2007-11-14,-22.247,-69.89,40.0,7.7,"36 km ESE of Tocopilla, Chile"
2007-09-30,-49.271,164.115,10.0,7.4,"Auckland Islands, New Zealand region"
2007-09-28,22.013,142.668,260.0,7.5,"Volcano Islands, Japan region"
2007-09-12,-2.625,100.841,35.0,7.9,"87 km SW of Sungai Penuh, Indonesia"
2007-09-12,-4.438,101.367,34.0,8.4,"122 km SW of Bengkulu, Indonesia"
2007-08-15,-13.386,-76.603,39.0,8.0,"41 km SW of San Vicente de Cañete, Peru"
2007-08-08,-5.859,107.419,280.0,7.5,"35 km NNE of Rengasdengklok, Indonesia"
2007-04-01,-8.466,157.043,24.0,8.1,2007 Solomon Islands Earthquake
2007-01-21,1.065,126.282,22.0,7.5,"126 km WNW of Ternate, Indonesia"
2007-01-13,46.243,154.524,10.0,8.1,2007 Kuril Islands Earthquake
2006-11-15,46.592,153.266,10.0,8.3,2006 Kuril Islands Earthquake
2006-07-17,-9.284,107.419,20.0,7.7,"226 km SSW of Singaparna, Indonesia"
2006-05-16,-31.81,-179.307,152.0,7.4,Kermadec Islands region
2006-05-03,-20.187,-174.123,55.0,8.0,2006 Tonga Earthquake
2006-04-20,60.949,167.089,22.0,7.6,"80 km NE of Tilichiki, Russia"
2006-01-27,-5.473,128.131,397.0,7.6,"196 km S of Ambon, Indonesia"
2006-01-02,-60.957,-21.606,13.0,7.4,east of the South Sandwich Islands
2005-10-08,34.539,73.588,26.0,7.6,"21 km NNE of Muzaffar?b?d, Pakistan"
2005-09-26,-5.678,-76.398,115.0,7.5,"39 km NW of Yurimaguas, Peru"
2005-09-09,-4.539,153.474,90.0,7.6,"135 km E of Kokopo, Papua New Guinea"
2005-06-13,-19.987,-69.197,115.6,7.8,"102 km ENE of Iquique, Chile"
2005-03-28,2.085,97.108,30.0,8.6,"78 km WSW of Singkil, Indonesia"
2004-12-26,3.295,95.982,30.0,9.1,2004 Sumatra - Andaman Islands Earthquake
2004-12-23,-49.312,161.345,10.0,8.1,2004 Tasman Sea Earthquake
2004-11-11,-8.152,124.868,10.0,7.5,"63 km NW of Maubara, Timor Leste"
2004-09-05,33.184,137.071,10.0,7.4,"118 km ESE of Shing?, Japan"
2004-07-25,-2.427,103.981,582.1,7.3,"100 km SSE of Jambi City, Indonesia"
2004-02-07,-4.003,135.023,10.0,7.3,"Near the south coast of Papua, Indonesia"
2003-12-27,-22.015,169.766,10.0,7.3,"201 km ESE of Tadine, New Caledonia"
2003-11-17,51.146,178.65,33.0,7.8,"Rat Islands, Aleutian Islands, Alaska"
2003-09-27,50.038,87.813,16.0,7.3,"29 km S of Aktash, Russia"
2003-09-25,41.774,143.593,33.0,7.4,"119 km ESE of Shizunai-furukawach?, Japan"
2003-09-25,41.815,143.91,27.0,8.16,2003 Tokachi-Oki Earthquake
2003-08-04,-60.532,-43.411,10.0,7.6,Scotia Sea
2003-07-15,-2.598,68.382,10.0,7.6,Carlsberg Ridge
2003-01-22,18.77,-104.104,24.0,7.6,"16 km SSW of Cuyutlán, Mexico"
2003-01-20,-10.491,160.77,33.0,7.3,"126 km W of Kirakira, Solomon Islands"
2002-11-17,47.824,146.209,459.1,7.3,"262 km E of Dolinsk, Russia"
2002-11-03,63.5141,-147.4529,4.2,7.9,"2002 Denali Fault, Alaska Earthquake"
2002-11-02,2.824,96.085,30.0,7.4,"50 km NW of Sinabang, Indonesia"
2002-10-10,-1.757,134.297,10.0,7.6,"102 km SSE of Manokwari, Indonesia"
2002-09-08,-3.302,142.945,13.0,7.6,"68 km ESE of Aitape, Papua New Guinea"
2002-08-19,-23.884,178.495,675.4,7.7,south of the Fiji Islands
2002-08-19,-21.696,-179.513,580.0,7.7,Fiji region
2002-06-28,43.752,130.666,566.0,7.3,"50 km SW of Dongning, China"
2002-03-05,6.033,124.249,31.0,7.5,"Mindanao, Philippines"
2002-03-03,36.502,70.482,225.6,7.4,"51 km SW of Jurm, Afghanistan"
2001-11-14,35.946,90.541,10.0,7.8,"Southern Qinghai, China"
2001-10-19,-4.102,123.907,33.0,7.5,"155 km E of Kendari, Indonesia"
2001-07-07,-17.543,-72.077,33.0,7.6,"51 km SW of Punta de Bombón, Peru"
2001-06-23,-16.265,-73.641,33.0,8.4,"6 km SSW of Atico, Peru"
2001-02-13,-4.68,102.562,36.0,7.4,"102 km SSE of Bengkulu, Indonesia"
2001-01-26,23.419,70.232,16.0,7.7,"17 km NW of Bhach?u, India"
2001-01-13,13.049,-88.66,60.0,7.7,"28 km SSW of Puerto El Triunfo, El Salvador"
2001-01-01,6.898,126.579,33.0,7.5,"21 km SE of Lukatan, Philippines"
2000-11-17,-5.496,151.781,33.0,7.8,"138 km SSW of Kokopo, Papua New Guinea"
2000-11-16,-5.233,153.102,30.0,7.8,"135 km SE of Kokopo, Papua New Guinea"
2000-11-16,-3.98,152.169,33.0,8.0,2000 New Ireland Earthquake
2000-08-06,28.856,139.556,394.8,7.4,"Bonin Islands, Japan region"
2000-06-18,-13.802,97.453,10.0,7.9,South Indian Ocean
2000-06-04,-4.721,102.087,33.0,7.9,"103 km S of Bengkulu, Indonesia"
2000-05-04,-1.105,123.573,26.0,7.6,"89 km E of Luwuk, Indonesia"
2000-03-28,22.338,143.73,126.5,7.6,"Volcano Islands, Japan region"
1999-12-11,15.766,119.74,33.0,7.3,"14 km WNW of Bolitoc, Philippines"
1999-11-26,-16.423,168.214,33.0,7.5,"92 km ESE of Lakatoro, Vanuatu"
1999-09-30,16.059,-96.931,60.6,7.5,"15 km W of San Baltazar Loxicha, Mexico"
1999-09-20,23.772,120.982,33.0,7.7,"21 km S of Puli, Taiwan"
1999-08-17,40.748,29.864,17.0,7.6,"4 km ESE of Derince, Turkey"
1999-04-05,-5.591,149.568,150.0,7.4,"63 km W of Kimbe, Papua New Guinea"
1999-02-06,-12.853,166.697,90.1,7.3,"146 km NW of Sola, Vanuatu"
1998-11-29,-2.071,124.891,33.0,7.7,"264 km ESE of Luwuk, Indonesia"
1998-05-03,22.306,125.308,33.0,7.5,"254 km SSE of Ishigaki, Japan"
1998-03-25,-62.877,149.527,10.0,8.1,1998 Balleny Islands Earthquake
1998-01-04,-22.301,170.911,100.6,7.5,southeast of the Loyalty Islands
1997-12-05,54.841,162.035,33.0,7.8,"156 km S of Ust’-Kamchatsk Staryy, Russia"
1997-11-08,35.069,87.325,33.0,7.5,western Xizang
1997-10-14,-22.101,-176.772,167.3,7.8,"192 km WSW of Haveluloto, Tonga"
1997-05-10,33.825,59.809,10.0,7.3,"58 km E of Q?’en, Iran"
1997-04-21,-12.584,166.676,33.0,7.7,"171 km NNW of Sola, Vanuatu"
1996-11-12,-14.993,-75.675,33.0,7.7,"60 km SW of Changuillo, Peru"
1996-08-05,-20.69,-178.31,550.2,7.4,Fiji region
1996-06-17,-7.137,122.589,587.3,7.9,"169 km NNE of Maumere, Indonesia"
1996-06-10,51.478,-176.847,26.3,7.3,"46 km SSW of Adak, Alaska"
1996-06-10,51.564,-177.632,33.0,7.9,"77 km WSW of Adak, Alaska"
1996-02-21,-9.593,-79.587,10.0,7.5,"123 km WSW of Puerto Santa, Peru"
1996-02-17,-0.891,136.952,33.0,8.09,"1996 Biak, Indonesia Earthquake"
1996-01-01,0.729,119.931,24.0,7.9,"181 km N of Palu, Indonesia"
1995-12-03,44.663,149.3,33.0,7.9,"128 km ESE of Kuril’sk, Russia"
1995-10-09,19.055,-104.205,33.0,8.0,"1995 Colima-Jalisco, Mexico Earthquake"
1995-09-14,16.779,-98.597,23.0,7.4,"5 km N of Azoyú, Mexico"
1995-08-16,-5.799,154.178,30.1,7.7,"155 km WNW of Panguna, Papua New Guinea"
1995-07-30,-23.34,-70.294,45.6,8.0,"36 km NNE of Antofagasta, Chile"
1995-05-16,-23.008,169.9,20.2,7.7,"249 km E of Vao, New Caledonia"
1995-04-07,-15.199,-173.529,21.2,7.4,"88 km NNE of Hihifo, Tonga"
1994-12-28,40.525,143.419,26.5,7.8,"off the east coast of Honshu, Japan"
1994-10-09,43.905,147.916,33.0,7.3,"96 km E of Shikotan, Russia"
1994-10-04,43.773,147.321,14.0,8.3,"48 km E of Shikotan, Russia"
1994-07-21,42.34,132.865,471.4,7.3,"46 km SSW of Vrangel’, Russia"
1994-06-09,-13.841,-67.553,631.3,8.2,"55 km NNW of Reyes, Bolivia"
1994-06-02,-10.477,112.835,18.4,7.8,"249 km SSW of Kencong, Indonesia"
1994-03-09,-18.039,-178.413,562.5,7.6,"240 km E of Levuka, Fiji"
1993-08-08,12.982,144.801,59.3,7.8,"32 km S of Inarajan Village, Guam"
1993-07-12,42.851,139.197,16.7,7.7,"107 km W of Iwanai, Japan"
1993-06-08,51.218,157.829,70.6,7.5,"97 km ESE of Ozernovskiy, Russia"
1993-01-15,43.3,143.691,102.2,7.6,"52 km NE of Otofuke, Japan"
1992-12-20,-6.582,130.393,77.7,7.3,"281 km WSW of Tual, Indonesia"
1992-12-12,-8.48,121.896,27.7,7.8,"37 km WNW of Maumere, Indonesia"
1992-10-11,-19.247,168.948,129.0,7.4,"47 km NW of Isangel, Vanuatu"
1992-09-02,11.742,-87.34,44.8,7.7,"83 km SSW of Corinto, Nicaragua"
1992-08-19,42.142,73.575,27.4,7.3,"60 km ENE of Toktogul, Kyrgyzstan"
1992-06-28,34.2,-116.437,-0.097,7.3,"The 1992 Landers, California Earthquake"
1992-05-17,7.191,126.762,33.0,7.3,"23 km ESE of Santiago, Philippines"
1991-12-22,45.533,151.021,24.7,7.6,"248 km E of Kuril’sk, Russia"
1991-06-23,-26.802,-63.349,558.0,7.3,"27 km NNW of El Hoyo, Argentina"
1991-06-20,1.196,122.787,31.4,7.5,"79 km NNW of Gorontalo, Indonesia"
1991-04-22,9.685,-83.073,10.0,7.6,"34 km S of Limón, Costa Rica"
1990-12-30,-5.097,150.967,178.6,7.5,"104 km ENE of Kimbe, Papua New Guinea"
1990-07-16,15.679,121.172,25.1,7.7,"4 km E of Macapsing, Philippines"
1990-06-20,36.957,49.409,18.5,7.4,"23 km N of P?deg?n-e Manj?l, Iran"
1990-04-18,1.186,122.857,25.7,7.8,"75 km NNW of Gorontalo, Indonesia"
1990-04-05,15.125,147.596,11.4,7.6,"198 km E of Saipan, Northern Mariana Islands"
1990-03-25,9.919,-84.808,22.2,7.3,"7 km SSE of Puntarenas, Costa Rica"
1990-03-03,-22.122,175.163,33.2,7.6,south of the Fiji Islands
1989-12-15,8.337,126.729,24.4,7.6,"37 km ENE of Barcelona, Philippines"
1989-11-01,39.837,142.76,28.6,7.4,"73 km ENE of Miyako, Japan"
1989-05-23,-52.341,160.568,10.0,8.02,1989 Macquarie Ridge Earthquake
1988-11-06,22.789,99.611,17.8,7.7,"145 km NW of Jinghong, China"
1988-08-10,-10.366,160.819,34.0,7.6,"121 km W of Kirakira, Solomon Islands"
1988-08-06,25.149,95.127,90.5,7.3,"85 km SE of Phek, India"
1988-03-06,56.953,-143.032,10.0,7.8,Gulf of Alaska
1988-02-24,13.477,124.616,24.9,7.3,"37 km ESE of Bato, Philippines"
1987-11-30,58.679,-142.786,10.0,7.9,"200 km WSW of Yakutat, Alaska"
1987-10-16,-6.266,149.06,47.8,7.4,"54 km W of Kandrian, Papua New Guinea"
1987-10-06,-17.94,-172.225,16.0,7.3,"201 km ENE of Neiafu, Tonga"
1987-09-03,-58.893,158.513,33.0,7.4,Macquarie Island region
1987-03-05,-24.388,-70.161,62.3,7.6,"84 km SSE of Antofagasta, Chile"
1987-02-08,-6.088,147.689,54.9,7.4,"54 km NNW of Finschhafen, Papua New Guinea"
1986-11-14,23.901,121.574,33.8,7.4,"8 km SSW of Hualien City, Taiwan"
1986-10-20,-28.117,-176.367,29.1,7.7,Kermadec Islands region
1986-08-14,1.795,126.519,33.0,7.5,"146 km NW of Ternate, Indonesia"
1986-05-07,51.52,-174.776,33.0,8.0,"1986 Atka, Alaska Earthquake"
1985-09-21,17.802,-101.647,30.8,7.6,"7 km N of Pantla, Mexico"
1985-09-19,18.19,-102.533,27.9,8.0,"1985 Michoacan, Mexico Earthquake"
1985-07-29,36.19,70.896,98.7,7.4,"75 km S of Jurm, Afghanistan"
1985-07-03,-4.439,152.828,33.0,7.3,"62 km E of Kokopo, Papua New Guinea"
1985-03-04,-33.207,-71.663,33.0,7.4,"19 km S of Valparaíso, Chile"
1985-03-03,-33.135,-71.871,33.0,8.0,"25 km WSW of Valparaíso, Chile"
1984-11-20,5.167,125.124,202.2,7.5,"45 km SW of Sarangani, Philippines"
1984-08-06,-0.086,122.517,242.3,7.4,"91 km SW of Gorontalo, Indonesia"
1984-03-06,29.384,138.935,457.4,7.4,"Izu Islands, Japan region"
1984-03-05,8.147,123.762,649.1,7.3,"4 km NNW of Tabid, Philippines"
1984-02-07,-10.012,160.469,18.1,7.6,"85 km SE of Honiara, Solomon Islands"
1983-12-30,36.372,70.738,214.5,7.4,"55 km S of Jurm, Afghanistan"
1983-11-30,-6.852,72.11,10.0,7.3,Chagos Archipelago region
1983-11-24,-7.481,128.168,178.5,7.3,"172 km NE of Lospalos, Timor Leste"
1983-10-04,-26.535,-70.563,14.8,7.4,"54 km WSW of Diego de Almagro, Chile"
1983-05-26,40.462,139.102,23.7,7.4,"83 km WNW of Noshiro, Japan"
1983-03-18,-4.883,153.581,88.8,7.6,"157 km ESE of Kokopo, Papua New Guinea"
1981-10-25,18.048,-102.084,33.0,7.3,"7 km NNE of Petacalco, Mexico"
1981-09-01,-14.96,-173.085,25.0,7.7,"133 km NE of Hihifo, Tonga"
1981-05-25,-48.786,164.357,33.0,7.6,off the west coast of the South Island of New Zealand
1980-10-10,36.195,1.354,10.0,7.3,"3 km NNE of Chlef, Algeria"
1980-07-17,-12.525,165.916,33.0,7.9,"199 km S of Lata, Solomon Islands"
1980-07-08,-12.41,166.381,33.0,7.5,"196 km SSE of Lata, Solomon Islands"
1979-12-12,1.598,-79.358,24.0,7.7,"56 km NW of Valdez, Ecuador"
1979-10-12,-46.675,165.707,33.0,7.4,"180 km W of Riverton, New Zealand"
1979-09-12,-1.679,136.04,5.0,7.9,"55 km S of Biak, Indonesia"
1979-03-14,17.813,-101.276,49.0,7.6,"12 km SSE of Vallecitos de Zaragoza, Mexico"
1978-11-29,16.01,-96.591,18.0,7.7,"2 km ESE of San Agustín Loxicha, Mexico"
1978-09-16,33.386,57.434,33.0,7.4,"52 km ESE of Tabas, Iran"
1978-07-23,22.282,121.512,17.0,7.4,"85 km ENE of Hengchun, Taiwan"
1978-06-12,38.19,142.028,44.0,7.7,"68 km ESE of Ishinomaki, Japan"
1978-03-24,44.244,148.862,33.0,7.6,"134 km SE of Kuril’sk, Russia"
1978-03-23,44.932,148.439,33.0,7.5,"55 km SE of Kuril’sk, Russia"
1977-11-23,-31.028,-67.767,13.0,7.4,"San Juan, Argentina"
1977-08-19,-11.154,118.385,15.9,8.3,"1977 Sumba, Indonesia Earthquake"
1977-04-21,-9.965,160.731,33.0,7.5,"103 km SE of Honiara, Solomon Islands"
1977-04-20,-9.844,160.822,33.0,7.5,"105 km ESE of Honiara, Solomon Islands"
1977-04-20,-9.89,160.348,19.0,7.5,"66 km SE of Honiara, Solomon Islands"
1977-04-02,-16.696,-172.095,33.0,7.6,"199 km ESE of Hihifo, Tonga"
1977-03-04,45.772,26.761,94.0,7.5,"2 km N of Spulber, Romania"
1976-11-24,39.121,44.029,36.0,7.3,"47 km S of Do?ubayaz?t, Turkey"
1976-08-16,6.262,124.023,33.0,7.9,"19 km WNW of Palimbang, Philippines"
1976-07-28,39.664,118.401,26.0,7.4,"6 km SW of Linxi, China"
1976-07-27,39.57,117.978,23.0,7.5,"17 km NE of Penguanzhuang, China"
1976-02-04,15.324,-89.101,5.0,7.5,"7 km N of Los Amates, Guatemala"
1976-01-14,-28.427,-177.657,33.0,8.0,"1976 Kermadec Islands, New Zealand Earthquake"
1975-12-26,-16.264,-172.467,33.0,7.8,"146 km ESE of Hihifo, Tonga"
1975-11-29,19.333,-155.0015,8.636,7.7,"17 km SSW of Leilani Estates, Hawaii"
1975-10-11,-24.894,-175.119,9.0,7.8,south of Tonga
1975-07-20,-7.104,155.152,44.0,7.7,"94 km SSW of Panguna, Papua New Guinea"
1975-07-20,-6.59,155.054,49.0,7.9,"56 km WSW of Panguna, Papua New Guinea"
1975-05-26,35.997,-17.649,33.0,7.9,Azores-Cape St. Vincent Ridge
1975-05-10,-38.183,-73.232,6.0,7.7,"44 km SSE of Cañete, Chile"
1975-02-02,53.113,173.497,10.0,7.6,"36 km NE of Attu Station, Alaska"
1974-10-08,17.3,-62.0,47.0,7.5,"25 km NW of Saint John’s, Antigua and Barbuda"
1974-10-03,-12.265,-77.795,13.0,7.6,"77 km WSW of Callao, Peru"
1974-08-11,39.457,73.83,9.0,7.3,"134 km E of Kyzyl-Eshme, Kyrgyzstan"
1974-07-13,7.747,-77.688,12.0,7.3,"33 km SSW of Boca de Cupé, Panama"
1973-12-28,-14.464,166.601,26.0,7.5,"81 km NW of Port-Olry, Vanuatu"
1973-06-17,43.233,145.785,48.0,7.7,"19 km ESE of Nemuro, Japan"
1973-02-06,31.398,100.581,33.0,7.4,"203 km NW of Kangding, China"
1973-01-30,18.481,-102.996,43.0,7.5,"35 km SW of Aguililla, Mexico"
1972-12-04,33.313,140.854,25.9,7.32,"206 km SSE of Wada, Japan"
1972-12-02,6.43,126.665,51.3,8.0,"1972 Mindanao, Philippines Earthquake"
1972-08-17,-6.033,152.911,14.1,7.5,"199 km SSE of Kokopo, Papua New Guinea"
1972-07-30,56.674,-135.918,19.9,7.6,"55 km SW of Sitka, Alaska"
1972-06-11,3.781,124.192,332.8,7.72,"228 km SW of Sarangani, Philippines"
1972-04-25,13.422,120.268,25.5,7.34,"18 km W of Harrison, Philippines"
1972-02-14,-11.421,166.334,102.6,7.4,"96 km SE of Lata, Solomon Islands"
1972-01-25,22.598,122.284,27.1,7.3,"167 km SSE of Hualien City, Taiwan"
1971-12-15,55.955,163.225,20.0,7.62,"55 km ESE of Ust’-Kamchatsk Staryy, Russia"
1971-11-24,52.763,159.216,125.8,7.3,"51 km SE of Petropavlovsk-Kamchatsky, Russia"
1971-09-05,46.529,141.185,18.1,7.3,"50 km W of Gornozavodsk, Russia"
1971-07-27,-2.848,-77.379,113.3,7.42,"98 km ESE of Sucúa, Ecuador"
1971-07-26,-4.868,153.182,51.5,8.1,1971 Bougainville Earthquake
1971-07-14,-5.467,153.864,15.0,8.0,1971 New Britain Earthquake
1971-07-09,-32.617,-71.168,60.6,7.8,"19 km NNE of Hacienda La Calera, Chile"
1971-01-10,-3.212,139.735,26.9,7.7,"120 km SW of Abepura, Indonesia"
1970-08-30,52.301,151.613,647.6,7.31,Sea of Okhotsk
1970-07-31,-1.597,-72.532,644.8,8.0,"95 km N of San Antonio del Estrecho, Peru"
1970-06-24,51.754,-131.006,19.9,7.3,"288 km S of Prince Rupert, Canada"
1970-06-11,-59.272,159.229,15.0,7.3,Macquarie Island region
1970-05-31,-9.266,-78.847,58.4,7.9,"34 km SW of Chimbote, Peru"
1970-04-29,14.472,-92.612,35.0,7.3,"34 km SW of Puerto Madero, Mexico"
1970-04-07,15.786,121.678,30.9,7.42,"14 km ENE of Suklayin, Philippines"
1969-11-22,57.668,163.51,32.7,7.44,"172 km NNE of Ust’-Kamchatsk Staryy, Russia"
1969-11-21,2.04,94.545,21.0,7.54,"209 km WSW of Sinabang, Indonesia"
1969-08-11,43.465,147.787,28.6,8.2,1969 Hokkaido Toho-oki Earthquake
1969-02-28,36.001,-10.641,14.5,7.8,"188 km SW of Sagres, Portugal"
1969-01-30,4.662,127.34,60.8,7.6,"223 km ESE of Sarangani, Philippines"
1968-10-07,26.358,140.635,500.0,7.31,"Bonin Islands, Japan region"
1968-08-10,1.475,126.221,20.9,7.68,"121 km E of Bitung, Indonesia"
1968-08-02,16.543,-97.746,30.0,7.3,"9 km WSW of La Humedad, Mexico"
1968-08-01,16.38,122.067,31.3,7.6,"28 km SE of Minuri, Philippines"
1968-07-25,-30.799,-178.145,48.3,7.3,"Kermadec Islands, New Zealand"
1968-05-28,-2.867,139.37,60.0,7.5,"143 km WSW of Abepura, Indonesia"
1968-05-16,41.498,142.858,31.1,7.9,"70 km S of Honchō, Japan"
1968-05-16,40.89,143.362,26.9,8.2,1968 Tokachi-Oki Earthquake
1968-04-01,32.479,132.294,31.2,7.5,"60 km ESE of Nobeoka, Japan"
1968-02-12,-5.433,153.302,25.9,7.3,"166 km SE of Kokopo, Papua New Guinea"
1968-01-29,43.559,146.702,42.9,7.38,"26 km S of Shikotan, Russia"
1967-12-21,-21.878,-69.956,45.0,7.3,"34 km NE of Tocopilla, Chile"
1966-12-31,-11.866,166.473,59.0,7.8,"146 km SSE of Lata, Solomon Islands"
1966-12-28,-25.487,-70.531,20.0,7.67,"9 km SSW of Taltal, Chile"
1966-10-17,-10.704,-78.448,37.4,8.1,"67 km W of Paramonga, Peru"
1966-09-08,2.388,128.49,115.0,7.71,"90 km NE of Tobelo, Indonesia"
1966-03-12,24.271,122.688,24.6,7.5,"38 km SW of Yonakuni, Japan"
1965-08-23,16.157,-95.876,14.5,7.4,"4 km NW of Santa María Zapotitlán, Mexico"
1965-08-13,-16.123,166.995,30.0,7.4,"43 km W of Norsup, Vanuatu"
1965-08-11,-15.804,167.18,47.6,7.6,"31 km S of Luganville, Vanuatu"
1965-08-02,-56.141,157.884,11.1,7.3,Macquarie Island region
1965-07-02,53.009,-167.653,39.0,7.8,"81 km E of Nikolski, Alaska"
1965-05-20,-14.649,167.2,50.0,7.7,"45 km NNE of Port-Olry, Vanuatu"
1965-03-30,50.286,177.877,23.5,7.6,"Rat Islands, Aleutian Islands, Alaska"
1965-03-28,-32.516,-71.206,68.3,7.4,"7 km SSE of La Ligua, Chile"
1965-03-14,36.405,70.724,207.8,7.44,"51 km S of Jurm, Afghanistan"
1965-02-04,51.436,179.592,9.0,7.39,"265 km WSW of Adak, Alaska"
1965-02-04,51.251,178.715,30.3,8.7,1965 Western Aleutian Islands (Hawadax/Rat Islands) Earthquake
1965-01-24,-2.633,125.961,28.3,8.2,1965 Ceram Sea Earthquake
1964-06-16,38.384,139.232,15.5,7.6,"27 km NW of Murakami, Japan"
1964-05-26,-56.323,-27.655,125.0,7.8,South Sandwich Islands region
1964-03-28,60.908,-147.339,25.0,9.2,"The 1964 Prince William Sound, Alaska Earthquake"
1963-12-18,-24.749,-176.844,55.0,7.6,south of the Fiji Islands
1963-11-09,-9.127,-71.483,590.7,7.63,"132 km SW of Tarauacá, Brazil"
1963-11-04,-6.957,129.605,110.0,8.1,1963 Banda Sea Earthquake
1963-10-20,44.726,150.547,28.2,7.8,"217 km ESE of Kuril’sk, Russia"
1963-10-13,44.872,149.483,35.0,8.5,1963 Kuril Islands Earthquake
