airport_a_iata,airport_a_city,airport_a_lat,airport_a_lon,airport_b_iata,airport_b_city,airport_b_lat,airport_b_lon,airline_record_count
ATL,Atlanta,33.6367,-84.428101,ORD,Chicago,41.9786,-87.9048,39
ATL,Atlanta,33.6367,-84.428101,MIA,Miami,25.79319953918457,-80.29060363769531,24
JFK,New York,40.63980103,-73.77890015,LHR,London,51.4706,-0.461941,24
BKK,Bangkok,13.681099891662598,100.74700164794922,HKG,Hong Kong,22.308901,113.915001,24
BKK,Bangkok,13.681099891662598,100.74700164794922,HKT,Phuket,8.1132,98.316902,23
AUH,Abu Dhabi,24.433000564575195,54.651100158691406,MCT,Muscat,23.593299865722656,58.284400939941406,23
JFK,New York,40.63980103,-73.77890015,MSY,New Orleans,29.99340057373047,-90.25800323486328,22
BAH,Bahrain,26.27079963684082,50.63359832763672,DOH,Doha,25.273056,51.608056,22
CDG,Paris,49.012798,2.55,JFK,New York,40.63980103,-73.77890015,22
LAX,Los Angeles,33.94250107,-118.4079971,LHR,London,51.4706,-0.461941,22
ATL,Atlanta,33.6367,-84.428101,DEN,Denver,39.861698150635,-104.672996521,22
CAN,Guangzhou,23.39240074157715,113.29900360107422,HGH,Hangzhou,30.22949981689453,120.43399810791016,22
AKL,Auckland,-37.008098602299995,174.792007446,SYD,Sydney,-33.94609832763672,151.177001953125,21
ATL,Atlanta,33.6367,-84.428101,DFW,Dallas-Fort Worth,32.896801,-97.038002,21
MSY,New Orleans,29.99340057373047,-90.25800323486328,ORD,Chicago,41.9786,-87.9048,21
BKK,Bangkok,13.681099891662598,100.74700164794922,CNX,Chiang Mai,18.766799926799997,98.962600708,21
KUL,Kuala Lumpur,2.745579957962,101.70999908447,SIN,Singapore,1.35019,103.994003,20
CGO,Zhengzhou,34.519699096699995,113.841003418,HGH,Hangzhou,30.22949981689453,120.43399810791016,20
CKG,Chongqing,29.719200134277344,106.64199829101562,XIY,Xi'an,34.447102,108.751999,20
DLC,Dalian,38.9656982421875,121.53900146484375,HGH,Hangzhou,30.22949981689453,120.43399810791016,20
JHG,Jinghonggasa,21.973899841308594,100.76000213623047,KMG,Kunming,25.1019444,102.9291667,20
BKK,Bangkok,13.681099891662598,100.74700164794922,ICN,Seoul,37.46910095214844,126.45099639892578,20
HKG,Hong Kong,22.308901,113.915001,ICN,Seoul,37.46910095214844,126.45099639892578,20
ICN,Seoul,37.46910095214844,126.45099639892578,NRT,Tokyo,35.7647018433,140.386001587,20
CDG,Paris,49.012798,2.55,ORD,Chicago,41.9786,-87.9048,20
JFK,New York,40.63980103,-73.77890015,MXP,Milano,45.6306,8.72811,20
LHR,London,51.4706,-0.461941,SFO,San Francisco,37.61899948120117,-122.375,20
NRT,Tokyo,35.7647018433,140.386001587,TPE,Taipei,25.0777,121.233002,20
ATL,Atlanta,33.6367,-84.428101,SFO,San Francisco,37.61899948120117,-122.375,20
CGK,Jakarta,-6.1255698204,106.65599823,KUL,Kuala Lumpur,2.745579957962,101.70999908447,20
CMB,Colombo,7.180759906768799,79.88410186767578,MLE,Male,4.191830158233643,73.52909851074219,20
CGK,Jakarta,-6.1255698204,106.65599823,SIN,Singapore,1.35019,103.994003,20
DPS,Denpasar,-8.7481698989868,115.16699981689,SIN,Singapore,1.35019,103.994003,20
BKK,Bangkok,13.681099891662598,100.74700164794922,SIN,Singapore,1.35019,103.994003,19
ATL,Atlanta,33.6367,-84.428101,LAX,Los Angeles,33.94250107,-118.4079971,19
PER,Perth,-31.94029998779297,115.96700286865234,SIN,Singapore,1.35019,103.994003,18
CGO,Zhengzhou,34.519699096699995,113.841003418,URC,Urumqi,43.907100677490234,87.47419738769531,18
CKG,Chongqing,29.719200134277344,106.64199829101562,KMG,Kunming,25.1019444,102.9291667,18
CTU,Chengdu,30.578500747680664,103.9469985961914,HGH,Hangzhou,30.22949981689453,120.43399810791016,18
CTU,Chengdu,30.578500747680664,103.9469985961914,KMG,Kunming,25.1019444,102.9291667,18
KHG,Kashi,39.5429000854,76.0199966431,URC,Urumqi,43.907100677490234,87.47419738769531,18
URC,Urumqi,43.907100677490234,87.47419738769531,XIY,Xi'an,34.447102,108.751999,18
XIY,Xi'an,34.447102,108.751999,XNN,Xining,36.5275,102.042999,18
LAS,Las Vegas,36.08010101,-115.1520004,LAX,Los Angeles,33.94250107,-118.4079971,18
ATL,Atlanta,33.6367,-84.428101,PHL,Philadelphia,39.87189865112305,-75.24109649658203,18
ATL,Atlanta,33.6367,-84.428101,PHX,Phoenix,33.43429946899414,-112.01200103759766,18
BCN,Barcelona,41.2971,2.07846,JFK,New York,40.63980103,-73.77890015,18
BKK,Bangkok,13.681099891662598,100.74700164794922,KUL,Kuala Lumpur,2.745579957962,101.70999908447,18
BOS,Boston,42.36429977,-71.00520325,LHR,London,51.4706,-0.461941,18
DFW,Dallas-Fort Worth,32.896801,-97.038002,FRA,Frankfurt,50.033333,8.570556,18
DUB,Dublin,53.421299,-6.27007,JFK,New York,40.63980103,-73.77890015,18
JFK,New York,40.63980103,-73.77890015,MAD,Madrid,40.471926,-3.56264,18
LHR,London,51.4706,-0.461941,ORD,Chicago,41.9786,-87.9048,18
BNE,Brisbane,-27.384199142456055,153.11700439453125,SIN,Singapore,1.35019,103.994003,18
ATL,Atlanta,33.6367,-84.428101,CUN,Cancun,21.036500930800003,-86.8770980835,18
ATL,Atlanta,33.6367,-84.428101,IAD,Washington,38.94449997,-77.45580292,18
ATL,Atlanta,33.6367,-84.428101,IAH,Houston,29.984399795532227,-95.34140014648438,18
ATL,Atlanta,33.6367,-84.428101,IND,Indianapolis,39.7173,-86.294403,18
ATL,Atlanta,33.6367,-84.428101,JAX,Jacksonville,30.49410057067871,-81.68789672851562,18
ATL,Atlanta,33.6367,-84.428101,MSY,New Orleans,29.99340057373047,-90.25800323486328,18
ATL,Atlanta,33.6367,-84.428101,RDU,Raleigh-durham,35.877601623535156,-78.7874984741211,18
HRE,Harare,-17.931801,31.0928,LUN,Lusaka,-15.3308000565,28.4526004791,18
LAX,Los Angeles,33.94250107,-118.4079971,MSY,New Orleans,29.99340057373047,-90.25800323486328,18
ACE,Arrecife,28.945499,-13.6052,LGW,London,51.148102,-0.190278,18
CPT,Cape Town,-33.9648017883,18.6016998291,JNB,Johannesburg,-26.1392,28.246,18
SIN,Singapore,1.35019,103.994003,SYD,Sydney,-33.94609832763672,151.177001953125,18
SHE,Shenyang,41.639801025390625,123.48300170898438,TAO,Qingdao,36.2661018372,120.374000549,18
HGH,Hangzhou,30.22949981689453,120.43399810791016,TAO,Qingdao,36.2661018372,120.374000549,18
LHW,Lanzhou,36.5152015686,103.620002747,URC,Urumqi,43.907100677490234,87.47419738769531,17
BNE,Brisbane,-27.384199142456055,153.11700439453125,CNS,Cairns,-16.885799408,145.755004883,17
CDG,Paris,49.012798,2.55,MIA,Miami,25.79319953918457,-80.29060363769531,17
LAX,Los Angeles,33.94250107,-118.4079971,NRT,Tokyo,35.7647018433,140.386001587,17
ATL,Atlanta,33.6367,-84.428101,JFK,New York,40.63980103,-73.77890015,17
NKG,Nanjing,31.742000579833984,118.86199951171875,XMN,Xiamen,24.54400062561035,118.12799835205078,17
HKG,Hong Kong,22.308901,113.915001,SIN,Singapore,1.35019,103.994003,16
KIX,Osaka,34.42729949951172,135.24400329589844,TPE,Taipei,25.0777,121.233002,16
CAN,Guangzhou,23.39240074157715,113.29900360107422,CKG,Chongqing,29.719200134277344,106.64199829101562,16
CKG,Chongqing,29.719200134277344,106.64199829101562,LXA,Lhasa,29.2978000641,90.91190338130001,16
CSX,Changcha,28.189199447599997,113.220001221,KMG,Kunming,25.1019444,102.9291667,16
CSX,Changcha,28.189199447599997,113.220001221,XMN,Xiamen,24.54400062561035,118.12799835205078,16
CTU,Chengdu,30.578500747680664,103.9469985961914,XIY,Xi'an,34.447102,108.751999,16
HRB,Harbin,45.6234016418457,126.25,TSN,Tianjin,39.124401092499994,117.346000671,16
KMG,Kunming,25.1019444,102.9291667,NKG,Nanjing,31.742000579833984,118.86199951171875,16
KMG,Kunming,25.1019444,102.9291667,XIY,Xi'an,34.447102,108.751999,16
KMG,Kunming,25.1019444,102.9291667,XMN,Xiamen,24.54400062561035,118.12799835205078,16
DLC,Dalian,38.9656982421875,121.53900146484375,TSN,Tianjin,39.124401092499994,117.346000671,16
HGH,Hangzhou,30.22949981689453,120.43399810791016,KMG,Kunming,25.1019444,102.9291667,16
KMG,Kunming,25.1019444,102.9291667,WUH,Wuhan,30.7838,114.208,16
HGH,Hangzhou,30.22949981689453,120.43399810791016,KWL,Guilin,25.21809959411621,110.03900146484375,16
HGH,Hangzhou,30.22949981689453,120.43399810791016,SYX,Sanya,18.302900314331055,109.41200256347656,16
PVG,Shanghai,31.143400192260742,121.80500030517578,TPE,Taipei,25.0777,121.233002,16
ATL,Atlanta,33.6367,-84.428101,CLT,Charlotte,35.2140007019043,-80.94309997558594,16
ATL,Atlanta,33.6367,-84.428101,LHR,London,51.4706,-0.461941,16
BKK,Bangkok,13.681099891662598,100.74700164794922,NRT,Tokyo,35.7647018433,140.386001587,16
DUS,Duesseldorf,51.289501,6.76678,ORD,Chicago,41.9786,-87.9048,16
EWR,Newark,40.692501068115234,-74.168701171875,LHR,London,51.4706,-0.461941,16
HNL,Honolulu,21.32062,-157.924228,LAX,Los Angeles,33.94250107,-118.4079971,16
IAD,Washington,38.94449997,-77.45580292,LHR,London,51.4706,-0.461941,16
JFK,New York,40.63980103,-73.77890015,LAS,Las Vegas,36.08010101,-115.1520004,16
JFK,New York,40.63980103,-73.77890015,LAX,Los Angeles,33.94250107,-118.4079971,16
LHR,London,51.4706,-0.461941,SEA,Seattle,47.449001,-122.308998,16
NRT,Tokyo,35.7647018433,140.386001587,SIN,Singapore,1.35019,103.994003,16
AUH,Abu Dhabi,24.433000564575195,54.651100158691406,BAH,Bahrain,26.27079963684082,50.63359832763672,16
FRA,Frankfurt,50.033333,8.570556,MAD,Madrid,40.471926,-3.56264,16
CKY,Conakry,9.57689,-13.612,DKR,Dakar,14.739700317382812,-17.49020004272461,16
EBB,Entebbe,0.042386,32.443501,KGL,Kigali,-1.96863,30.1395,16
ATL,Atlanta,33.6367,-84.428101,CMH,Columbus,39.998001,-82.891899,16
ATL,Atlanta,33.6367,-84.428101,DTW,Detroit,42.212398529052734,-83.35340118408203,16
ATL,Atlanta,33.6367,-84.428101,FLL,Fort Lauderdale,26.072599,-80.152702,16
ATL,Atlanta,33.6367,-84.428101,MCI,Kansas City,39.2976,-94.713898,16
ATL,Atlanta,33.6367,-84.428101,MCO,Orlando,28.429399490356445,-81.30899810791016,16
ATL,Atlanta,33.6367,-84.428101,PBI,West Palm Beach,26.68320083618164,-80.09559631347656,16
