HIP,Vmag,Plx,e_Plx,B-V
2,9.27,21.9,3.1,0.999
7,9.64,17.74,1.3,0.74
10,8.59,10.76,1.1,0.489
18,11.03,19.93,2.36,1.567
20,8.51,10.76,1.06,0.516
23,7.57,12.21,0.95,0.456
25,6.28,13.74,0.98,0.763
34,6.43,12.71,0.74,0.514
38,8.65,23.84,0.78,0.778
39,7.46,10.98,1.18,0.475
47,10.78,24.45,1.97,1.15
50,6.49,16.89,0.8,0.616
54,10.57,20.97,1.71,1.03
55,7.4,14.66,0.98,0.551
57,8.27,33.89,0.79,0.863
58,7.05,26.06,0.67,0.52
65,11.0,16.98,2.43,1.147
68,8.79,31.8,1.17,0.94
72,8.97,10.63,1.25,0.671
74,9.93,24.22,1.36,1.068
80,8.4,15.59,1.43,0.566
81,8.57,23.43,1.28,0.642
84,9.61,18.9,1.33,0.852
93,8.12,16.74,1.28,0.619
94,10.1,10.48,1.48,0.644
110,8.61,20.42,1.91,0.787
111,11.28,27.11,2.33,1.308
112,10.76,31.35,4.17,1.384
118,9.2,12.08,1.33,0.606
122,4.78,14.77,0.47,1.254
128,6.5,15.2,0.63,0.182
135,8.64,20.1,1.22,0.62
142,7.33,16.04,0.69,0.73
143,10.35,20.05,1.64,1.033
149,11.26,22.92,2.17,0.932
159,6.93,16.92,0.81,0.292
169,9.24,63.03,1.98,1.39
171,5.8,80.63,3.03,0.69
179,6.9,14.91,0.9,0.534
184,8.48,29.75,1.21,0.888
188,8.64,10.49,1.23,0.488
190,8.74,10.47,1.17,0.57
194,5.7,26.53,0.77,0.315
201,8.24,10.06,0.99,0.474
219,8.56,10.78,1.28,0.602
223,7.17,21.58,1.65,0.617
238,6.25,16.16,0.96,0.526
246,9.73,18.29,1.56,0.99
249,8.75,13.24,1.03,0.552
255,7.96,11.84,1.16,0.421
263,12.04,32.93,3.49,1.473
267,8.09,11.66,1.42,0.455
276,7.49,15.55,0.95,0.636
277,6.96,15.84,0.81,0.353
290,7.78,15.26,1.03,0.563
293,8.29,13.14,0.97,0.488
296,8.24,25.29,1.11,0.78
301,4.55,14.31,0.92,-0.047
305,7.66,20.44,0.96,0.741
308,7.09,13.9,0.84,0.303
310,9.58,12.24,1.44,0.7
313,8.01,10.62,1.46,0.406
325,8.56,14.48,1.07,0.615
337,9.6,11.87,1.49,0.75
340,8.11,14.91,1.01,0.484
343,5.78,11.29,0.92,1.084
348,8.6,16.79,1.13,0.64
350,10.37,21.14,1.62,1.1
351,9.8,22.52,1.48,0.855
352,10.42,12.99,1.76,0.8
357,7.33,10.92,0.64,0.444
359,9.09,17.09,0.88,0.639
378,7.37,11.46,0.84,0.422
379,5.68,10.3,0.58,1.051
392,7.93,10.47,1.53,0.478
400,7.82,39.06,0.93,0.755
403,8.97,11.56,1.31,0.674
404,7.47,14.53,1.21,0.55
407,8.13,22.09,0.71,0.71
413,7.73,19.78,0.87,0.537
420,7.53,23.9,0.85,0.577
425,8.14,14.25,0.83,0.593
429,8.69,11.12,1.22,0.644
428,9.95,86.98,1.41,1.472
432,6.88,10.35,0.81,0.174
435,9.3,10.28,1.33,0.538
436,8.49,62.48,0.82,1.076
443,4.61,25.38,1.05,1.029
439,8.56,229.33,1.08,1.462
459,8.82,18.57,0.95,0.666
460,9.13,22.2,1.14,0.735
461,7.86,11.04,0.91,0.494
462,7.13,19.81,0.94,0.446
473,8.2,85.1,2.74,1.41
475,8.22,21.03,1.06,0.636
487,9.44,11.21,1.34,0.617
489,10.38,13.23,1.74,0.782
490,7.51,24.85,0.92,0.595
493,7.45,26.24,0.82,0.596
494,8.99,12.99,0.94,0.585
495,8.58,25.77,2.07,0.92
509,9.67,13.05,1.67,0.633
510,7.8,11.07,1.0,0.501
518,5.98,49.3,1.05,0.687
522,5.7,39.0,0.64,0.519
523,12.17,56.92,2.73,1.55
544,6.07,72.98,0.75,0.752
560,6.19,25.59,0.75,0.386
569,8.23,18.71,1.05,0.58
577,9.61,15.97,1.47,0.761
596,7.56,11.92,0.61,0.419
599,8.23,17.18,1.0,0.599
601,9.14,17.98,2.35,0.74
606,7.06,20.63,0.91,0.463
616,8.7,30.76,1.21,0.798
617,8.5,10.08,0.93,0.451
626,6.73,10.14,0.73,0.951
636,5.93,12.45,0.74,0.141
641,7.82,21.83,0.84,0.61
642,9.08,11.55,1.4,0.595
649,7.85,10.66,0.99,0.505
655,5.67,10.02,0.71,1.119
669,7.04,36.18,1.02,0.624
676,9.4,10.7,1.27,0.57
677,2.07,33.6,0.73,-0.038
682,7.59,25.15,0.97,0.626
687,10.73,45.64,1.92,1.46
689,7.41,12.72,0.86,0.606
690,9.26,11.01,0.95,0.675
691,7.78,14.43,0.96,0.358
699,6.21,30.26,0.69,0.504
705,8.41,16.24,0.7,0.588
710,7.43,11.61,1.01,0.296
722,8.48,12.89,1.03,0.537
723,8.57,31.34,2.1,0.885
726,7.72,18.22,0.95,0.62
729,5.57,11.17,0.72,1.043
731,11.65,22.5,2.96,1.26
733,8.58,10.46,1.13,0.714
737,6.93,16.09,0.75,0.8
738,11.73,42.82,2.61,1.493
746,2.28,59.89,0.56,0.38
753,9.33,17.75,1.21,0.812
754,7.78,22.07,2.31,0.68
755,7.02,17.03,0.69,0.932
759,7.07,19.28,0.79,0.644
761,5.42,14.57,1.34,0.414
762,9.11,11.89,1.31,0.83
765,3.88,23.28,0.98,1.013
768,7.94,13.8,1.3,0.66
772,8.52,16.26,0.98,0.687
787,9.53,23.86,1.59,0.965
791,8.57,13.92,1.11,0.644
792,8.43,12.54,1.23,0.906
794,8.84,17.08,1.86,0.833
801,8.32,18.8,1.05,0.595
813,5.54,10.04,0.86,-0.064
814,5.29,13.45,0.5,1.049
818,7.1,10.24,1.21,0.345
819,7.88,11.15,0.68,0.476
840,5.84,18.18,0.92,0.973
846,8.92,13.53,1.28,0.578
847,8.38,10.15,1.04,0.508
848,7.74,10.35,0.82,0.473
856,8.24,12.91,1.06,0.491
865,6.66,15.06,0.7,0.372
867,8.47,15.57,1.17,0.574
870,7.51,18.2,0.91,0.503
873,5.84,15.35,0.74,1.0
889,8.41,16.45,0.95,0.575
895,8.55,12.6,1.18,0.435
897,10.86,39.19,2.29,1.418
898,11.55,24.32,3.25,1.395
910,4.89,52.94,0.77,0.487
914,8.6,15.08,1.1,0.7
916,9.5,35.69,5.14,1.254
919,7.95,29.35,0.95,0.755
920,8.23,18.6,0.91,0.581
922,8.48,11.58,1.13,0.473
924,8.97,20.86,2.16,0.807
929,8.34,17.0,0.82,0.619
934,9.04,27.46,1.09,0.891
943,8.61,20.55,1.21,0.643
948,9.92,29.15,1.54,1.071
950,5.24,45.85,0.66,0.459
952,8.45,10.91,1.15,0.481
955,9.02,16.48,1.49,0.599
956,7.51,12.79,1.43,0.491
961,9.34,10.46,1.33,0.695
964,7.91,10.93,1.05,0.392
971,7.19,10.9,0.86,0.398
974,8.73,38.88,1.22,1.045
975,7.62,17.21,0.76,0.758
976,8.66,10.57,1.33,0.43
986,7.43,10.44,0.83,0.335
996,8.18,19.39,1.0,0.669
999,8.44,24.69,1.2,0.739
1000,8.73,15.32,1.34,0.707
1003,8.66,21.09,1.23,0.743
1013,7.95,15.34,0.99,0.945
1022,9.85,15.9,1.78,0.939
1026,6.63,18.06,0.76,0.402
1031,7.22,49.18,0.78,0.775
1044,10.74,27.5,1.94,1.308
1051,8.75,11.11,1.11,0.401
1055,10.41,24.96,2.95,1.36
1058,7.57,14.72,0.86,0.453
1071,7.98,11.12,1.08,0.396
1072,7.45,10.64,0.9,0.48
1073,7.72,10.64,0.91,0.333
1078,9.86,28.3,1.48,1.19
1083,10.77,36.74,2.54,1.444
1085,9.05,30.0,1.25,0.913
1086,5.71,28.57,0.74,0.331
1092,11.14,51.12,3.31,1.556
1103,7.41,13.08,0.96,0.44
1113,8.76,22.86,0.87,0.743
1114,7.15,14.45,0.76,0.513
1116,8.93,10.74,1.17,0.628
1119,9.42,24.14,1.58,0.962
1123,6.22,11.13,0.73,0.009
1128,8.36,23.68,1.19,0.645
1134,7.32,21.66,1.17,0.521
1137,8.08,13.44,0.89,0.461
1140,6.66,21.62,0.68,0.462
1144,7.42,20.23,1.2,0.64
1147,6.89,18.19,0.9,0.502
1148,8.51,22.51,1.49,0.73
1151,9.42,11.19,1.5,0.831
1156,8.23,10.93,0.98,0.475
1161,6.95,12.17,0.82,0.494
1168,4.79,10.01,0.77,1.572
1169,7.03,11.81,0.82,0.461
1173,9.18,13.85,1.37,0.657
1174,9.1,12.12,1.4,0.681
1185,6.82,11.33,0.89,0.257
1187,10.04,13.96,1.97,0.84
1196,6.02,12.47,1.28,0.312
1206,8.57,22.9,0.93,0.695
1211,7.99,10.99,0.83,0.389
1234,7.33,10.91,0.81,0.441
1242,11.49,191.86,17.24,1.75
1258,8.54,11.65,0.8,0.551
1266,9.05,10.45,1.3,0.557
1274,8.57,13.96,1.25,0.568
1275,9.76,19.25,1.67,0.74
1276,11.58,41.32,3.89,1.647
1290,9.35,13.79,1.38,0.655
1292,6.59,56.76,0.53,0.749
1294,8.79,23.91,1.17,0.965
1297,8.92,14.92,0.97,0.718
1302,6.12,10.75,0.98,0.068
1304,8.78,12.54,1.22,0.623
1306,7.9,13.71,1.21,0.673
1308,11.06,21.82,2.32,1.258
