"sex","age_group","total_deaths"
"Male","All Ages","6469164"
"Male","Under 1 year","40371"
"Male","0-17 years","76420"
"Male","1-4 years","8102"
"Male","5-14 years","12850"
"Male","15-24 years","97748"
"Male","18-29 years","168776"
"Male","25-34 years","196824"
"Male","30-39 years","237089"
"Male","35-44 years","273868"
"Male","40-49 years","326794"
"Male","45-54 years","445872"
"Male","50-64 years","1249590"
"Male","55-64 years","983034"
"Male","65-74 years","1450938"
"Male","75-84 years","1576934"
"Male","85 years and over","1382623"
"Female","All Ages","5834235"
"Female","Under 1 year","32842"
"Female","0-17 years","54550"
"Female","1-4 years","6197"
"Female","5-14 years","9158"
"Female","15-24 years","35711"
"Female","18-29 years","62606"
"Female","25-34 years","81856"
"Female","30-39 years","110952"
"Female","35-44 years","142609"
"Female","40-49 years","184684"
"Female","45-54 years","263650"
"Female","50-64 years","781101"
"Female","55-64 years","621870"
"Female","65-74 years","1058157"
"Female","75-84 years","1457972"
"Female","85 years and over","2124213"
