date,region,mode,trips,lat,lon,methodology_note,baseline_2019,index_2019
2019-01-01,Inner Sydney,Train,1321750,-33.8688,151.2093,stable,1284090.4166666667,102.9
2019-02-01,Inner Sydney,Train,1274937,-33.8688,151.2093,stable,1284090.4166666667,99.3
2019-03-01,Inner Sydney,Train,1352539,-33.8688,151.2093,stable,1284090.4166666667,105.3
2019-04-01,Inner Sydney,Train,1357366,-33.8688,151.2093,stable,1284090.4166666667,105.7
2019-05-01,Inner Sydney,Train,1429511,-33.8688,151.2093,stable,1284090.4166666667,111.3
2019-06-01,Inner Sydney,Train,1380667,-33.8688,151.2093,stable,1284090.4166666667,107.5
2019-07-01,Inner Sydney,Train,1361180,-33.8688,151.2093,stable,1284090.4166666667,106.0
2019-08-01,Inner Sydney,Train,1186139,-33.8688,151.2093,stable,1284090.4166666667,92.4
2019-09-01,Inner Sydney,Train,1198597,-33.8688,151.2093,stable,1284090.4166666667,93.3
2019-10-01,Inner Sydney,Train,1128516,-33.8688,151.2093,stable,1284090.4166666667,87.9
2019-11-01,Inner Sydney,Train,1169081,-33.8688,151.2093,stable,1284090.4166666667,91.0
2019-12-01,Inner Sydney,Train,1248802,-33.8688,151.2093,stable,1284090.4166666667,97.3
2020-01-01,Inner Sydney,Train,1226139,-33.8688,151.2093,stable,1284090.4166666667,95.5
2020-02-01,Inner Sydney,Train,1303139,-33.8688,151.2093,stable,1284090.4166666667,101.5
2020-03-01,Inner Sydney,Train,495273,-33.8688,151.2093,stable,1284090.4166666667,38.6
2020-04-01,Inner Sydney,Train,494050,-33.8688,151.2093,stable,1284090.4166666667,38.5
2020-05-01,Inner Sydney,Train,470201,-33.8688,151.2093,stable,1284090.4166666667,36.6
2020-06-01,Inner Sydney,Train,478268,-33.8688,151.2093,stable,1284090.4166666667,37.2
2020-07-01,Inner Sydney,Train,471894,-33.8688,151.2093,stable,1284090.4166666667,36.7
2020-08-01,Inner Sydney,Train,410932,-33.8688,151.2093,stable,1284090.4166666667,32.0
2020-09-01,Inner Sydney,Train,439017,-33.8688,151.2093,stable,1284090.4166666667,34.2
2020-10-01,Inner Sydney,Train,428552,-33.8688,151.2093,stable,1284090.4166666667,33.4
2020-11-01,Inner Sydney,Train,415358,-33.8688,151.2093,stable,1284090.4166666667,32.3
2020-12-01,Inner Sydney,Train,418741,-33.8688,151.2093,stable,1284090.4166666667,32.6
2021-01-01,Inner Sydney,Train,754228,-33.8688,151.2093,stable,1284090.4166666667,58.7
2021-02-01,Inner Sydney,Train,729019,-33.8688,151.2093,stable,1284090.4166666667,56.8
